Feature,iPhone 4,iPhone 4S,IPhone 5/5C,iPhone 5S,iPod Touch,IPad 2,the new iPad,iPad Air,iPad Mini,iPad Mini w/Retina
Back Camera,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
Front Camera,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES
Zoom,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES
60 fps mode,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES
120 fps mode,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
Image Stabilization,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES
1080p recording ,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES
Leveling Guide,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES
Realtime Filters,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES
Chroma-Key,NO,NO,YES,YES,YES,NO,YES,YES,NO,YES
Post-Process Filters,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES
Clip Re-Timing,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES
Cloud Director,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES
ISO Lock,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES
